film,main_char,degree,betweenness
Cat People (1982 film),OLIVER,2.2531259566603414,2.5522106854889857
Apocalypse Now Redux,WILLARD,4.790975597080929,5.7728249234525535
Mumford (film),MUMFORD,4.050000000000001,4.720231672993689
84C MoPic,EASY,1.2288478807785606,1.8413840843090539
Fracture (2007 film),WILLY,4.387338972463819,4.826449413977341
The Bodyguard (1992 film),FRANK,4.6169097902937954,5.867856465415723
The Seventh Victim,JASON,1.963961012123931,1.9203912459290244
The Descendants,MATT,4.889027921807201,5.813145969425072
Looper (film),JOE,2.6361677043180047,2.9581983579035755
Benny & Joon,Benny,2.781596030821065,3.590553791764885
The Pianist (2002 film),SZPILMAN,5.548367923732201,6.57987787211981
Awakenings,SAYER,4.942438682175511,5.948423613137527
Jacobs Ladder (film),JACOB,6.455324173230154,7.034136200956627
Sister Act,CHRISTY,5.555617654474167,7.161397700247783
All the Presidents Men (film),WOODWARD,5.452088583697403,5.684771894462005
American Shaolin,DREW,4.194273597804868,4.8468003382186104
Cherry Falls,JODY,3.7458353655796337,4.6195442809588
In the Bedroom,MATT,4.2449841419102015,4.868579810337628
The Sixth Sense,MALCOLM,2.578968618787489,2.520444500801837
Barton Fink,BARTON,6.396697808636752,7.205778097446248
Brick (film),BRENDAN,3.7951370576863495,4.3643036249408995
Austin Powers: International Man of Mystery,AUSTIN,5.063262164673258,5.614569146827067
RocknRolla,ROCKNROLLA,4.458773580340739,5.92458634148389
Nashville (film),TRIPLETTE,1.5436695136208143,0.49199044863072927
The Pacifier,SHANE,5.946760531337241,7.332919536962662
The Bonfire of the Vanities (film),SHERMAN,4.595230001120465,4.744771469477303
The Hitchhikers Guide to the Galaxy (film),ARTHUR,3.4154285320066475,4.647189461198678
Enemy of the State (film),DEAN,6.450739849789745,7.134176983252892
Return to Me,BOB,3.129664078715256,4.433362920946978
No Strings Attached (film),ADAM,4.7806346868992,5.123557118087169
Backdraft (film),BRIAN,2.688104022895085,3.2565803222574727
Malibus Most Wanted,BRAD,3.6667634099923623,4.447076808189056
Hancock (film),MARY,3.2153175157548017,3.3551296608244434
The Lord of the Rings: The Return of the King,GANDALF,3.5010978699466953,4.761374049184417
Star Trek II: The Wrath of Khan,KIRK,3.322438054105706,5.155521513420154
Charade (1963 film),REGGIE,6.164572167544449,7.9282169634204305
The Kings Speech,BERTIE,3.1009711542430556,3.783194401123195
The Girl with the Dragon Tattoo (2011 film),BLOMKVIST,4.705691543608107,5.151372478347634
American Splendor (film),HARVEY,4.324175350550849,5.2962246470677625
Poetic Justice (film),LUCKY,3.7252657160971006,3.7114102525553005
Spider-Man (2002 film),STRAND,1.4966629547095767,1.8668453772423195
Finding Nemo,MARLIN,3.6234577659287286,5.8035637984187245
Major League (film),TAYLOR,4.135086116507927,6.153928800347495
Chinatown (1974 film),GITTES,6.785044476732867,6.90861090074935
Malcolm X (film),MALCOLM,7.608985724200915,8.624399100571578
Feast (film),HEROINE,2.296059188066393,4.49988638555466
Walking Tall (2004 film),CHRIS,4.077240955022125,4.865091514516737
Eagle Eye,JERRY,4.348586547631747,4.533462092721129
Grosse Pointe Blank,MARTIN,5.62093735144422,6.177350141646713
War of the Worlds (2005 film),CLAYTON,5.784710950622249,6.778770401168332
The Life and Death of Colonel Blimp,CLIVE,9.51192352445943,10.299799577345905
The Birds (film),MELANIE,4.635083413098751,5.8008902136204705
Cinema Paradiso,SALVATORE,3.4309777282602267,4.1646157402357025
JFK (film),JIM,6.993263395229153,7.900053219611515
