film,main_char,gender,top_topic
The Grudge,susan,1.0,25
The Grudge,doug,0.0,8
The Grudge,nakagawa,1.0,8
Horrible Bosses,kurt,0.0,6
Horrible Bosses,nick,0.0,6
Horrible Bosses,dale,0.0,6
Horrible Bosses,harken,1.0,6
The Terminator,sarah,1.0,25
The Terminator,reese,1.0,25
Scary Movie,cindy,1.0,25
Scary Movie,bobby,0.0,6
Scary Movie,buffy,1.0,5
Scary Movie,brandy,1.0,5
The Sandlot,scotty,0.0,6
The Sandlot,benny,0.0,1
The Sandlot,ham,1.0,6
The Sandlot,narrator,0.0,1
Jaws 2,brody,0.0,8
Jaws 2,mike,0.0,8
Reservoir Dogs,mr. white,0.0,23
Reservoir Dogs,mr. pink,1.0,23
Reservoir Dogs,eddie,1.0,23
Reservoir Dogs,joe,0.0,23
Reservoir Dogs,freddy,0.0,6
Even Cowgirls Get the Blues (film),sissy,0.0,3
Even Cowgirls Get the Blues (film),jelly,1.0,3
Even Cowgirls Get the Blues (film),the countess,1.0,3
Even Cowgirls Get the Blues (film),chink,0.0,3
Cat People (1982 film),oliver,0.0,9
Cat People (1982 film),irena,1.0,9
Cat People (1982 film),alice,1.0,9
Cat People (1982 film),judd,1.0,9
Apocalypse Now Redux,willard,0.0,20
Apocalypse Now Redux,chef,0.0,23
Apocalypse Now Redux,chief,1.0,20
Apocalypse Now Redux,kilgore,0.0,20
Mumford (film),mumford,0.0,6
84C MoPic,easy,1.0,6
84C MoPic,od,1.0,20
84C MoPic,drewry,0.0,6
84C MoPic,hammer,1.0,23
84C MoPic,pretty boy,1.0,23
84C MoPic,cracker,1.0,6
Fracture (2007 film),willy,1.0,8
Fracture (2007 film),crawford,1.0,8
The Bodyguard (1992 film),frank,0.0,8
The Bodyguard (1992 film),rachel,1.0,8
The Seventh Victim,jason,0.0,9
The Seventh Victim,mary,1.0,9
The Seventh Victim,gregory,0.0,9
The Seventh Victim,judd,1.0,9
The Descendants,matt,0.0,6
The Descendants,alexandra,1.0,6
Looper (film),joe,0.0,25
Looper (film),sara,1.0,25
Looper (film),old joe,0.0,25
Benny & Joon,benny,0.0,18
Benny & Joon,joon,1.0,18
Benny & Joon,sam,0.0,18
The Pianist (2002 film),szpilman,0.0,8
The Pianist (2002 film),henryk,0.0,9
Awakenings,sayer,1.0,3
Awakenings,leonard,0.0,8
Jacobs Ladder (film),jacob,0.0,9
Sister Act,christy,1.0,8
Sister Act,mother superior,1.0,24
All the Presidents Men (film),woodward,0.0,17
All the Presidents Men (film),bernstein,0.0,17
American Shaolin,drew,1.0,6
Cherry Falls,jody,1.0,9
Cherry Falls,brent,1.0,6
In the Bedroom,matt,0.0,8
In the Bedroom,ruth,1.0,9
In the Bedroom,willis,1.0,9
In the Bedroom,natalie,1.0,8
In the Bedroom,f,1.0,6
The Sixth Sense,malcolm,0.0,8
The Sixth Sense,cole,0.0,8
The Sixth Sense,lynn,1.0,8
Barton Fink,barton,0.0,6
Barton Fink,charlie,1.0,6
Brick (film),brendan,0.0,25
Austin Powers: International Man of Mystery,austin,1.0,16
Austin Powers: International Man of Mystery,vanessa,1.0,3
Austin Powers: International Man of Mystery,dr. evil,0.0,3
RocknRolla,rocknrolla,0.0,15
RocknRolla,one two,0.0,23
RocknRolla,lenny cole,0.0,9
RocknRolla,archy,0.0,23
RocknRolla,johnny story,0.0,8
RocknRolla,mumbles,0.0,23
